  XORS2X12
    area: 7.49
    A    <-  (0.005574)
    B    <-  (0.005749)
    Z    ->  (0.21) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.035 0.039 0.215149
            0.035 0.079 0.27258
            0.035 0.16 0.387387
            0.035 0.32 0.613448
            0.07 0.0014 0.171413
            0.07 0.02 0.208835
            0.07 0.039 0.237831
            0.07 0.079 0.295284
            0.07 0.16 0.410025
            0.07 0.32 0.636229
            0.14 0.0014 0.209891
            0.14 0.02 0.247335
            0.14 0.039 0.276342
            0.14 0.079 0.333817
            0.14 0.16 0.448547
            0.14 0.32 0.674685
            0.28 0.0014 0.274197
            0.28 0.02 0.311718
            0.28 0.039 0.340736
            0.28 0.079 0.398233
            0.28 0.16 0.512875
            0.28 0.32 0.738793
            0.56 0.0014 0.395406
            0.56 0.02 0.443586
            0.56 0.039 0.475519
            0.56 0.079 0.534545
            0.56 0.16 0.649484
            0.56 0.32 0.875512
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.027769
            0.005 0.02 0.058808
            0.005 0.039 0.089016
            0.005 0.079 0.15444
            0.005 0.16 0.29207
            0.005 0.32 0.56918
            0.035 0.0014 0.027852
            0.035 0.02 0.058903
            0.035 0.039 0.089063
            0.035 0.079 0.15448
            0.035 0.16 0.29211
            0.035 0.32 0.56919
            0.07 0.0014 0.028285
            0.07 0.02 0.059156
            0.07 0.039 0.089225
            0.07 0.079 0.15452
            0.07 0.16 0.29212
            0.07 0.32 0.5692
            0.14 0.0014 0.029632
            0.14 0.02 0.060177
            0.14 0.039 0.090023
            0.14 0.079 0.155
            0.14 0.16 0.2923
            0.14 0.32 0.56921
            0.28 0.0014 0.032843
            0.28 0.02 0.062792
            0.28 0.039 0.092146
            0.28 0.079 0.15633
            0.28 0.16 0.29286
            0.28 0.32 0.56941
            0.56 0.0014 0.03954
            0.56 0.02 0.06835
            0.56 0.039 0.096764
            0.56 0.079 0.15951
            0.56 0.16 0.29439
            0.56 0.32 0.57003
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.023383
            0.005 0.02 0.063325
            0.005 0.039 0.10522
            0.005 0.079 0.19702
            0.005 0.16 0.38623
            0.005 0.32 0.76113
            0.035 0.0014 0.023511
            0.035 0.02 0.063444
            0.035 0.039 0.10531
            0.035 0.079 0.19703
            0.035 0.16 0.38624
            0.035 0.32 0.76131
            0.07 0.0014 0.024047
            0.07 0.02 0.063751
            0.07 0.039 0.10545
            0.07 0.079 0.19704
            0.07 0.16 0.38625
            0.07 0.32 0.76132
            0.14 0.0014 0.025663
            0.14 0.02 0.064695
            0.14 0.039 0.10616
            0.14 0.079 0.19735
            0.14 0.16 0.38626
            0.14 0.32 0.76133
            0.28 0.0014 0.029305
            0.28 0.02 0.067316
            0.28 0.039 0.10785
            0.28 0.079 0.1981
            0.28 0.16 0.38631
            0.28 0.32 0.76134
            0.56 0.0014 0.036926
            0.56 0.02 0.073175
            0.56 0.039 0.11188
            0.56 0.079 0.20004
            0.56 0.16 0.38701
            0.56 0.32 0.76154
  XOR2X27
    area: 12.5
    A    <-  (0.003638)
    B    <-  (0.006268)
    Z    ->  (0.47) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.135124
            0.005 0.03 0.173965
            0.005 0.059 0.199925
            0.005 0.12 0.246983
            0.005 0.24 0.333575
            0.005 0.47 0.497299
            0.035 0.0014 0.157487
            0.035 0.03 0.196317
            0.035 0.059 0.222288
            0.035 0.12 0.269346
            0.035 0.24 0.355927
            0.035 0.47 0.519607
            0.07 0.0014 0.179553
            0.07 0.03 0.218383
            0.07 0.059 0.244354
            0.07 0.12 0.291412
            0.07 0.24 0.378026
            0.07 0.47 0.54186
            0.14 0.0014 0.217195
            0.14 0.03 0.256014
            0.14 0.059 0.281985
            0.14 0.12 0.329615
            0.14 0.24 0.416592
            0.14 0.47 0.580338
            0.28 0.0014 0.290147
            0.28 0.03 0.333102
            0.28 0.059 0.360514
            0.28 0.12 0.408947
            0.28 0.24 0.496276
            0.28 0.47 0.660055
            0.56 0.0014 0.416922
            0.56 0.03 0.46442
            0.56 0.059 0.493361
            0.56 0.12 0.543169
